index,review_count,positive_count,positive_sum,negative_count,negative_sum
7561,2,1,0.40497395833333333,0,0.0
7562,117,108,44.74811757369056,1,-0.6999999999999998
7563,16,11,4.755583333333334,1,-0.05
7564,62,54,23.81191340511049,2,-0.27678571428571425
7565,64,61,24.04643358438947,0,0.0
7566,16,14,4.699710482013114,0,0.0
7567,0,0,0.0,0,0.0
7568,24,23,11.211489549591215,1,-0.24999999999999997
7569,39,36,13.827312171080553,1,-0.6624999999999999
7570,0,0,0.0,0,0.0
7571,2,2,1.6,0,0.0
7572,48,40,17.110210112033027,1,-0.009596306471306465
7573,13,9,3.86613455988456,0,0.0
7574,0,0,0.0,0,0.0
7575,7,6,2.2882103775853775,0,0.0
7576,23,19,8.552474206349206,3,-0.42656249999999996
7577,1,1,0.3533333333333333,0,0.0
7578,3,2,0.9706060606060607,0,0.0
7579,65,57,22.099534928647753,0,0.0
7580,3,2,1.4194444444444445,0,0.0
7581,30,28,12.376993644236585,0,0.0
7582,5,3,1.1741666666666666,0,0.0
7583,9,7,3.280413961038961,0,0.0
7584,6,5,2.676111111111111,0,0.0
7585,7,7,2.35578902616428,0,0.0
7586,18,17,10.635299272486773,1,-0.125
7587,43,41,19.698491870738188,1,-0.04537037037037039
7588,117,103,42.518780713997025,1,-0.0007440476190476164
7589,0,0,0.0,0,0.0
7590,34,34,12.611417278782632,0,0.0
7591,1,0,0.0,0,0.0
7592,33,33,14.85875149340677,0,0.0
7593,20,20,9.910232707107706,0,0.0
7594,2,2,0.6269570707070709,0,0.0
7595,33,26,10.347770337301588,1,-0.09999999999999999
7596,77,74,29.371506363920194,0,0.0
7597,0,0,0.0,0,0.0
7598,215,187,76.03934758265027,0,0.0
7599,1,0,0.0,0,0.0
7600,6,4,1.7077938034188036,0,0.0
7601,0,0,0.0,0,0.0
7602,0,0,0.0,0,0.0
7603,0,0,0.0,0,0.0
7604,44,37,18.156492721994105,1,-0.25
7605,1,1,0.0136904761904762,0,0.0
7606,0,0,0.0,0,0.0
7607,1,1,0.20784632034632033,0,0.0
7608,0,0,0.0,0,0.0
7609,0,0,0.0,0,0.0
7610,0,0,0.0,0,0.0
7611,427,407,192.9988708375201,5,-1.6141145347027699
7612,0,0,0.0,0,0.0
7613,191,168,74.50099280837463,4,-2.0010833333333333
7614,6,6,3.3820450680272107,0,0.0
7615,0,0,0.0,0,0.0
7616,55,51,20.998964758789185,1,-0.05833333333333333
7617,0,0,0.0,0,0.0
7618,68,56,24.6600492467189,1,-0.10520833333333332
7619,3,3,1.086111111111111,0,0.0
7620,3,2,1.5,0,0.0
7621,1,1,0.4,0,0.0
